,Frecuencia (MHz),Código,Nombre,Cadena,Estilo,Señal de Origen,RDS,Potencia (vatio),Año de inicio,Eslogan,WEB
0,88.9,HJG38,Guasca FM,Sistema Sonoro de Colombia,Música Popular,Medellín,SI,4.000,2018,Yo soy Guasca FM,WEB
1,89.5,—,Aburra Stereo,Independiente / Pirata,Crossover,Medellín,NO,,2023,,
2,89.9,HJRT,MIX,Organización Radial Olímpica,"Reguetón, Música Urbana",Medellín,SI,,2018,El sonido de la calle,WEB
3,90.3,HJE27,Caracol Radio,Caracol Radio,Noticias y Deportes,Medellín,SI,5.000,2013,Más compañía,WEB
4,90.9,HJPQ,LOS40 Urban,Caracol Radio,"Reguetón, Música Urbana",Medellín,SI,15.000,2022,Es mi radio,WEB
5,91.3,—,Ritmo Stereo,Independiente / Pirata,Mixta,Medellín,NO,,2023,,
6,91.9,HJTO,Brutal,Independiente,"Reguetón, Música Urbana",Medellín,SI,15.000,2021,La nueva radio de Medallo,WEB
7,92.4,HJA94,Radio Bolivariana FM,Universidad Pontificia Bolivariana,Cultural,Medellín,SI,15.000,1992,¡ La máxima nota!,WEB
8,92.9,HJRY,La Mega,RCN Radio,"Reggaeton, pop latino",Medellín,SI,15.000,2006,Te pega al cielo,WEB
9,93.9,HJSX,Radio Uno,RCN Radio,Popular y Tropical,Medellín,SI,15.000,2005,"¿Que qué escucho mucho?, Radio Uno la de Uno",WEB
10,94.4,HJG42,RCN Radio,RCN Radio,Noticias,Medellín,SI,15.000,2023,24 horas de contenido en vivo,WEB
11,94.9,HJDW,La Voz de Colombia Bésame,Caracol Radio,"Pop, Baladas",Medellín,SI,45.000,1994,Radio Apasionada,WEB
12,95.9,HJUC,Cámara FM,Cámara de Comercio de Medellín,"Música Alternativa, Noticias",Medellín,SI,15.000,1984,Emisora online de música alternativa,WEB
13,96.4,HJG52,Radio Policía Nacional,Policía Nacional de Colombia,Crossover (interés público),Medellín,SI,15.000,1997,Siempre en sintonía,WEB
14,96.9,HJIK,Radio Fantástica,RCN Radio,"Pop, baladas",Medellín,SI,15.000,2023,La radio de las emociones,WEB
15,97.9,HJD78,Blu Radio,Caracol Televisión,"Noticias, radio hablada, pop anglo",Medellín,SI,5.000,2012,La alternativa,WEB
16,98.3,—,Cristiana Sin Nombre,Independiente / Pirata,Religiosa Protestante,Medellín,NO,,2023,,
17,98.9,HJVJ,Tropicana,Caracol Radio,"Popular, Salsa, Tropical",Medellín,SI,5.000,2014,La más bacana,WEB
18,99.4,HJG53,W+,Caracol Radio,Pop Anglo,Medellín,SI,15.000,2020,Más clásicos,WEB
19,99.9,HJXA,Radiónica,RTVC Sistema de Medios Públicos,"Rock, electrónica",Medellín,SI,10.000,2007,"¡Salva tú mundo!, usa Radiónica",WEB
20,100.4,HJG51,Radio UNAL,Universidad Nacional de Colombia,Cultural,Medellín,SI,15.000,2021,En línea con la academia,WEB
21,100.9,HJQO,Latina Stéreo,Indepediente,Salsa,Medellín,SI,,1985,,WEB
22,101.4,HJU64,La Esquina Radio,Asociación Palco,"Música, Noticias, Cultura",Medellín,SI,,,,WEB
23,101.9,HJB84,Emisora Cultural Universidad de Antioquia,Universidad de Antioquia,Clásica y cultural,Medellín,SI,15.000,1990,Sistema de Radio Educativa,WEB
24,102.3,HJD76,Radioacktiva,Caracol Radio,Rock,Medellín,SI,,2018,El planeta rock,WEB
25,102.9,HJE71,W Radio,Caracol Radio,"Noticias, radio hablada, música",Medellín,SI,15.000,2020,"Más piel, más W",WEB
26,103.5,—,La Mía,Independiente / Pirata,Mixta,Medellín,NO,,2023,,
27,103.9,HJG54,La X,Todelar,Pop y Música electrónica,Medellín,SI,15.000,1994,Más música,WEB
28,104.3,HJTD,Estrella Estéreo,Estrella Colombia,Popular y Tropical,Medellín,NO,5.000,,,WEB
29,104.9,HJFK,Olímpica Stereo,Organización Radial Olímpica,Crossover,Medellín,SI,15.000,,¿Qué estás haciendo? Yo escuchando Olímpica Stereo,WEB
30,105.9,HJG55,Radio Tiempo,Organización Radial Olímpica,Pop Latino,Medellín,SI,15.000,,Todo el tiempo,WEB
31,106.3,HJA74,Alfa Stereo,Independiente,Crossover,Medellín,SI,5.000,2022,La Emisora Del Pueblo Antioqueño/La De Los Batacazos,WEB
32,106.9,HJUU,La FM,RCN Radio,"Noticias, Música y Deportes",Medellín,SI,5.000,2015,Siempre / La radio de los clásicos,WEB
33,107.9,HJXW,El Sol,RCN Radio,Salsa,Medellín,SI,5.000,2006,Asoléate que te conviene,WEB
